"TIPO_REG","U_DPTO","U_MPIO","UA_CLASE","COD_ENCUESTAS","U_VIVIENDA","H_NROHOG","H_NRO_CUARTOS","H_NRO_DORMIT","H_DONDE_PREPALIM","H_AGUA_COCIN","HA_NRO_FALL","HA_TOT_PER"
2,"05","001",1,4138236,5,1,2,2,1,1,NA,3
2,"05","001",1,4138250,4,1,1,1,2,1,NA,2
2,"05","001",1,4138266,15,1,3,1,1,1,NA,4
2,"05","001",1,4138283,2,1,3,2,1,1,NA,4
2,"05","001",1,4138304,1,1,1,1,2,1,NA,2
2,"05","001",1,4138315,11,1,3,2,1,1,NA,5
2,"05","001",1,4138339,7,1,5,4,1,1,NA,4
2,"05","001",1,4138356,4,1,1,1,1,1,NA,1
2,"05","001",1,4138366,10,1,3,2,1,1,NA,7
2,"05","001",1,4138391,5,1,1,1,1,1,NA,3
2,"05","001",1,4138408,14,1,3,2,1,1,NA,3
2,"05","001",1,4138425,4,1,3,1,1,1,NA,3
2,"05","001",1,4138449,8,1,3,2,1,1,NA,3
2,"05","001",1,4138472,4,1,3,2,1,1,NA,3
2,"05","001",1,4138554,8,1,5,4,1,1,NA,4
2,"05","001",1,4138573,1,1,2,2,1,1,NA,4
2,"05","001",1,4138589,2,1,4,3,1,1,NA,6
2,"05","001",1,4138610,11,1,3,2,1,1,NA,3
2,"05","001",1,4138622,10,1,1,1,1,1,NA,3
2,"05","001",1,4138635,4,1,1,1,1,1,NA,1
2,"05","001",1,4138642,10,1,2,2,1,1,NA,6
2,"05","001",1,4138667,7,1,3,2,1,1,1,4
2,"05","001",1,4138683,6,1,3,2,1,1,NA,6
2,"05","001",1,4138706,15,1,4,3,1,11,NA,4
2,"05","001",1,4138719,1,1,3,2,1,1,NA,6
2,"05","001",1,4138746,22,1,3,2,1,1,NA,2
2,"05","001",1,4138754,19,1,5,3,1,1,NA,4
2,"05","001",1,4138761,8,1,4,3,1,1,NA,6
2,"05","001",1,4138785,4,1,4,3,1,1,NA,4
2,"05","001",1,4138797,32,1,3,2,1,1,NA,2
2,"05","001",1,4138805,10,1,4,3,1,1,NA,5
