"","CODIGO","NOMBRE"
"1","01","Popular"
"2","02","Santa Cruz"
"3","03","Manrique"
"4","04","Aranjuez"
"5","05","Castilla"
"6","06","Doce de Octubre"
"7","07","Robledo"
"8","08","Villa Hermosa"
"9","09","Buenos Aires"
"10","10","La Candelaria"
"11","11","Laureles Estadio"
"12","12","La América"
"13","13","San Javier"
"14","14","El Poblado"
"15","16","Belén"
"16","50","Corregimiento de San Sebastián de Palmitas"
"17","60","Corregimiento de San Cristóbal"
"18","70","Corregimiento de Altavista"
"19","90","Corregimiento de Santa Elena"
"20","SN02","Sin nombre 2"
"21","80","Corregimiento de San Antonio de Prado"
"22","SN01","Sin nombre 1"
"23","15","Guayabal"
